Cycle,Body,x,y,vx,vy
1,1,0.000000,0.000000,0.000000,0.000000
1,2,2.000000,2.000000,0.000001,0.000001
1,3,3.000000,3.000000,-0.000001,-0.000001
2,1,0.000000,0.000000,0.000001,0.000001
2,2,2.000000,2.000000,0.000002,0.000002
2,3,3.000000,3.000000,-0.000003,-0.000003
3,1,0.000000,0.000000,0.000001,0.000001
3,2,2.000000,2.000000,0.000003,0.000003
3,3,3.000000,3.000000,-0.000004,-0.000004
4,1,0.000000,0.000000,0.000002,0.000002
4,2,2.000000,2.000000,0.000004,0.000004
4,3,3.000000,3.000000,-0.000005,-0.000005
5,1,0.000000,0.000000,0.000002,0.000002
5,2,2.000000,2.000000,0.000004,0.000004
5,3,2.999999,2.999999,-0.000007,-0.000007
6,1,0.000000,0.000000,0.000003,0.000003
6,2,2.000001,2.000001,0.000005,0.000005
6,3,2.999999,2.999999,-0.000008,-0.000008
7,1,0.000000,0.000000,0.000003,0.000003
7,2,2.000001,2.000001,0.000006,0.000006
7,3,2.999999,2.999999,-0.000009,-0.000009
8,1,0.000001,0.000001,0.000003,0.000003
8,2,2.000001,2.000001,0.000007,0.000007
8,3,2.999998,2.999998,-0.000010,-0.000010
9,1,0.000001,0.000001,0.000004,0.000004
9,2,2.000002,2.000002,0.000008,0.000008
9,3,2.999998,2.999998,-0.000012,-0.000012
10,1,0.000001,0.000001,0.000004,0.000004
10,2,2.000002,2.000002,0.000009,0.000009
10,3,2.999997,2.999997,-0.000013,-0.000013
11,1,0.000001,0.000001,0.000005,0.000005
11,2,2.000002,2.000002,0.000010,0.000010
11,3,2.999996,2.999996,-0.000014,-0.000014
12,1,0.000001,0.000001,0.000005,0.000005
12,2,2.000003,2.000003,0.000011,0.000011
12,3,2.999996,2.999996,-0.000016,-0.000016
13,1,0.000002,0.000002,0.000006,0.000006
13,2,2.000003,2.000003,0.000012,0.000012
13,3,2.999995,2.999995,-0.000017,-0.000017
14,1,0.000002,0.000002,0.000006,0.000006
14,2,2.000004,2.000004,0.000012,0.000012
14,3,2.999994,2.999994,-0.000018,-0.000018
15,1,0.000002,0.000002,0.000006,0.000006
15,2,2.000005,2.000005,0.000013,0.000013
15,3,2.999993,2.999993,-0.000020,-0.000020
16,1,0.000003,0.000003,0.000007,0.000007
16,2,2.000005,2.000005,0.000014,0.000014
16,3,2.999992,2.999992,-0.000021,-0.000021
17,1,0.000003,0.000003,0.000007,0.000007
17,2,2.000006,2.000006,0.000015,0.000015
17,3,2.999991,2.999991,-0.000022,-0.000022
18,1,0.000003,0.000003,0.000008,0.000008
18,2,2.000007,2.000007,0.000016,0.000016
18,3,2.999990,2.999990,-0.000024,-0.000024
19,1,0.000004,0.000004,0.000008,0.000008
19,2,2.000008,2.000008,0.000017,0.000017
19,3,2.999989,2.999989,-0.000025,-0.000025
20,1,0.000004,0.000004,0.000009,0.000009
20,2,2.000008,2.000008,0.000018,0.000018
20,3,2.999988,2.999988,-0.000026,-0.000026
21,1,0.000004,0.000004,0.000009,0.000009
21,2,2.000009,2.000009,0.000019,0.000019
21,3,2.999986,2.999986,-0.000028,-0.000028
22,1,0.000005,0.000005,0.000009,0.000009
22,2,2.000010,2.000010,0.000019,0.000019
22,3,2.999985,2.999985,-0.000029,-0.000029
23,1,0.000005,0.000005,0.000010,0.000010
23,2,2.000011,2.000011,0.000020,0.000020
23,3,2.999983,2.999983,-0.000030,-0.000030
24,1,0.000006,0.000006,0.000010,0.000010
24,2,2.000012,2.000012,0.000021,0.000021
